0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.031567392,0.057651768,0.066247372,0.086567157,-0.064280219,0.145833753,0.001483019,0.012047494,0.098300142,-0.002511716,-0.097707167,0.038561034,-0.111873123,-0.037305855,0.066030987,-0.271024721,0.052136935,-0.149846696,-6.53E-08,71.95600128,-0.139598891,0.015890713,0.015890713
1,0.017284042,0.05680076,0.020016493,0.201142503,-0.208306285,0.268048153,-0.08064418,0.050484984,0.079235789,-0.018868865,-0.025268205,-0.050283247,-0.006862054,-0.166301433,0.210929728,-0.401083474,0.112946009,-0.169436726,2.445275545,70.88787842,-0.103865966,0.017537784,0.017537784
2,0.007842861,-0.001230668,0.20081368,-0.073633801,0.072486414,0.07240868,-0.000602921,0.035370635,0.078153224,-0.001887142,0.009324887,-0.15642356,0.121498477,-0.273321513,0.255650483,-0.45309902,0.142312213,-0.177691981,12.63139915,69.81752014,0.065915465,0.019593041,0.019593041
3,0.017157896,0.027483895,0.226214368,-0.218512381,0.313099632,-0.163254616,0.145746874,-0.014887702,0.089456471,-0.008620836,-0.056434496,-0.004912286,-0.150252972,0.087236524,-0.131510941,-0.193614237,0.042431042,-0.148415679,22.86328316,69.15171814,0.316123664,0.020726096,0.020726096
4,0.015719562,0.053703888,0.107851611,-0.045733549,0.134320024,-0.038750387,0.096302193,0.009035844,0.076781643,-0.008146729,-0.06424377,0.014870134,-0.14047649,0.046561151,-0.051422933,-0.218440727,0.074695282,-0.139316411,29.35029793,68.94444275,0.697026134,0.015851713,0.015851713
5,0.016380551,0.07748854,-0.002222736,0.107986532,-0.027218149,0.073304308,0.053236368,0.030910773,0.063036215,-0.00880885,-0.065899931,0.023075468,-0.11085186,0.012587176,-0.013582615,-0.151073605,0.043170729,-0.099100577,35.38265991,68.73756409,1.089150906,0.008732592,0.008732592
6,0.01901659,0.078391716,-0.026394448,0.136229126,-0.050844192,0.092401425,0.041706712,0.051986857,0.050361693,-0.010140689,-0.068447358,0.035805469,-0.133832848,0.073355525,-0.102842267,-0.022129027,-0.008158325,-0.051167908,40.88459015,68.58546448,1.348024487,0.004096707,0.004096707
7,0.023149702,0.068617537,-0.012592672,0.109303923,-0.018165206,0.075206285,0.039368668,0.069018096,0.03899072,-0.01226367,-0.070328971,0.039394151,-0.148885231,0.112739262,-0.165934139,0.059107526,-0.038912541,-0.012398255,45.66088486,68.43834686,1.55801475,0.000780306,0.000780306
8,0.024357645,0.067299909,-0.01302925,0.10679541,-0.015090749,0.074934533,0.032394412,0.077009994,0.030728164,-0.011791353,-0.077826438,0.052027637,-0.172617859,0.144835951,-0.203983696,0.097080369,-0.050675135,0.007768508,49.44328308,68.802948,1.742144704,-0.001210722,-0.001210722
9,0.023799917,0.068698772,-0.015426944,0.106720896,-0.014268479,0.066630711,0.036956829,0.069298028,0.02748374,-0.009586511,-0.086086203,0.065968922,-0.191856012,0.158943401,-0.210909167,0.096384713,-0.046075264,0.010624238,52.31026077,69.28684235,1.908059835,-0.002200641,-0.002200641
10,0.025310475,0.062790936,-0.002256981,0.084193942,0.012355677,0.037474458,0.055529993,0.055577385,0.027368044,-0.008666454,-0.090032804,0.072917841,-0.20099829,0.162441825,-0.208006783,0.088221101,-0.037990121,0.010697152,55.02288818,69.77344513,2.078353882,-0.003539291,-0.003539291
11,0.022607106,0.069738165,-0.017571991,0.108018177,-0.014380856,0.058038919,0.042027479,0.059519944,0.023183366,-0.008732165,-0.092393144,0.079389065,-0.212131791,0.172625916,-0.2140225,0.089079248,-0.033983046,0.013103232,57.77124786,70.24250031,2.25861311,-0.00556228,-0.00556228
12,0.02403381,0.064368976,-0.00769171,0.09459727,0.001977913,0.045688317,0.048388881,0.057823071,0.021990213,-0.011206815,-0.088579262,0.075124473,-0.208516778,0.169160715,-0.210418071,0.086311402,-0.02772359,0.015559076,60.55300522,70.71103668,2.448796988,-0.008268203,-0.008268203
13,0.024021326,0.063503543,-0.008498804,0.099308834,-0.001409054,0.052882487,0.042923837,0.063713175,0.02033635,-0.015256737,-0.081167061,0.065773773,-0.199065753,0.162408174,-0.206158843,0.08559939,-0.021764931,0.018765365,63.36803818,71.17958832,2.648896933,-0.011652357,-0.011652357
14.18,0.02434862,0.061138433,-0.006973922,0.102425033,-0.001081492,0.061522886,0.036156667,0.074808044,0.01866029,-0.02434862,-0.061138433,0.006973922,-0.102425033,0.001081492,-0.061522886,-0.036156667,-0.074808044,-0.01866029,66.73245239,71.73248291,2.897726059,-0.016524691,-0.016524691
